object_id,object_type,current_name,suggested_name,suggested_action,issue_types,province,road,lat,lon
vn-toll-clean-095,toll_station,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),keep,,Đồng Nai,quốc lộ 51,10.6755667,107.0197492
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict,Hà Nội,Cao Tốc Hà Nội - Hải Phòng Qpc7,20.770163,106.712798
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict,Hà Nội,Cao Tốc Hà Nội - Hải Phòng Wxjc,20.931708,105.971447
vn-toll-gmaps-chijl6j3blwfszer0pcyadvep-u,toll_station,Trạm thu phí cao tốc Hạ Long - Vân Đồn,Trạm thu phí cao tốc Hạ Long - Vân Đồn,keep,multiple_name_variants,Quảng Ninh,Cao Tốc Hạ Long - Vân Đồn 39Jv,21.082426,107.392871
vn-toll-gmaps-chijzt0yfhjfsjere2wnmcahp3w,toll_station,Trạm thu phí cao tốc Hạ Long - Vân Đồn,Trạm thu phí cao tốc Hạ Long - Vân Đồn,keep,multiple_name_variants,Quảng Ninh,Cao Tốc Hạ Long - Vân Đồn Xxf8,20.974346,106.965774
vn-toll-gmaps-chij25u6y96fcjerromg4bcfto0,toll_station,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,keep,multiple_name_variants,Đồng Tháp,Cao Tốc Trung Lương - Mỹ Thuận 8V9J,10.317545,105.880116
vn-toll-gmaps-chijasth-dlhater8cen2kfc4v0,toll_station,Trạm thu phí Chu Lai,Trạm thu phí Chu Lai,keep,,Quảng Ngãi,,15.442239,108.593055
vn-toll-gmaps-chijk-opbj4rdzerq0sya1sjjvs,toll_station,Trạm thu phí Cà Ná,Trạm thu phí Cà Ná,keep,,Khánh Hòa,,11.373688,108.881072
vn-toll-clean-085,toll_station,Trạm thu phí Cái Bè,Trạm thu phí Cái Bè,keep,,Đồng Tháp,,10.4068739,106.0320194
vn-toll-gmaps-chijpxj0cngjodercd6xh4c4v6g,toll_station,Trạm thu phí Cần Thơ - Phụng Hiệp,Trạm thu phí Cần Thơ - Phụng Hiệp,keep,,Cần Thơ,QL1,9.972868,105.74043
final-ChIJYzm4pxZlSjEReNGpes7DV6c,toll_station,Trạm thu phí Cầu Bạch Đằng,Trạm thu phí Cầu Bạch Đằng,keep,,Quảng Ninh,Cao Tốc Hạ Long - Hải Phòng,20.8628088,106.7849049
vn-toll-gmaps-chij1ta-oypmoterd0gbiy9q6u0,toll_station,Trạm thu phí Cầu Bến Thuỷ 2,Trạm thu phí Cầu Bến Thuỷ 2,keep,,Nghệ An,,18.6408,105.699069
vn-toll-clean-079,toll_station,Trạm thu phí Cầu Cổ Chiên,Trạm thu phí Cầu Cổ Chiên,keep,multiple_name_variants,Vĩnh Long,QL60,10.0199467,106.2974383
vn-toll-gmaps-chijw3ese-vzndervabdck3egrk,toll_station,Trạm thu phí Cầu Hạc Trì,Trạm thu phí Cầu Hạc Trì,keep,,Phú Thọ,,21.294515,105.449386
vn-toll-gmaps-chijbyvfm3qkntercjpalln1y8g,toll_station,Trạm thu phí Cầu Hồ,Trạm thu phí Cầu Hồ,keep,multiple_name_variants,Bắc Ninh,QL38,21.080139,106.092165
vn-toll-clean-093,toll_station,Trạm thu phí Cầu Móng Sến,Trạm thu phí Cầu Móng Sến,keep,,Lào Cai,,22.4168543,103.9071458
final-ChIJcYnshklhoDERkLnRXydRhaw,toll_station,Trạm thu phí Cầu Phú Hữu,Trạm thu phí Cầu Phú Hữu,keep,missing_province_context,,,9.9242626,105.8540449
vn-toll-gmaps-chijq6qqj7qldter5vynvzwfjvo,toll_station,Trạm thu phí Cầu Phú Mỹ,Trạm thu phí Cầu Phú Mỹ,keep,,TP. Hồ Chí Minh,,10.760046,106.764818
vn-toll-gmaps-chijtwtfrmkvcjerobgwturjbdk,toll_station,Trạm thu phí Cầu Rạch Miễu,Trạm thu phí Cầu Rạch Miễu,keep,,Vĩnh Long,QL60,10.314707,106.348376
vn-toll-gmaps-chijcdgnmmhdnterei-tfxzxnhk,toll_station,Trạm thu phí Cầu Thái Hà,Trạm thu phí Cầu Thái Hà,keep,osm_placeholder_name;source_name_conflict,Hưng Yên,,20.590872,106.139251
vn-toll-gmaps-chijsdenahanndersdrkmfp5jxw,toll_station,Trạm thu phí Cầu Văn Lang,Trạm thu phí Cầu Văn Lang,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict;missing_road_context,Hà Nội,,21.285532,105.404046
vn-toll-gmaps-chijpud-awdhnteraukymvq-3di,toll_station,Trạm thu phí Cầu Yên Lệnh,Trạm thu phí Cầu Yên Lệnh,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict,Hưng Yên,QL38,20.658939,106.048984
vn-toll-gmaps-chijuf95la0bszer7kkifo99l6e,toll_station,Trạm thu phí Cẩm Phả,Trạm thu phí Cẩm Phả,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict;missing_road_context,Quảng Ninh,,21.003101,107.327187
vn-toll-clean-090,toll_station,Trạm thu phí Diên Thọ,Trạm thu phí Diên Thọ,keep,,Khánh Hòa,,12.254518,109.0237874
vn-toll-gmaps-chij17nu3clusjerps6to2kbcuc,toll_station,Trạm thu phí Dương Kinh,Trạm thu phí Dương Kinh,keep,osm_placeholder_name;source_name_conflict,Hải Phòng,,20.776114,106.723902
vn-toll-gmaps-chijlwr0cgn8dderylvodvgjnrs,toll_station,Trạm thu phí Dầu Giây,Trạm thu phí Dầu Giây,keep,,Đồng Nai,,10.918303,107.163982
